note_indicator, note_indicator.label, note_indicator.sort
"I8:3308","Criteria used to define rural/urban areas: Definition based on administrative area, population size and density, predominance of agricultural/non-agricultural activities",81
"I8:3299","Criteria used to define rural/urban areas: Definition based on population size and density",82
"I10:3437","Part-time threshold: Less than 30 hours per week",83
"I10:3440","Part-time threshold: Less than 32 hours per week",84
"I10:3439","Part-time threshold: Less than 34 hours per week",85
"I10:3436","Part-time threshold: Less than 35 hours per week",86
"I10:3443","Part-time threshold: Less than 40 hours per week",87
"I8:3448","Criteria used to define rural/urban areas: Nonstandard criteria used to define rural/urban areas",88
"I10:3441","Part-time threshold: Nonstandard hours threshold",89
"T13:149","Coverage of occupational injuries: Reported injuries",90
"T13:150","Coverage of occupational injuries: Compensated injuries",91
"T13:151","Coverage of occupational injuries: Nonstandard coverage of occupational injuries",92
"T14:153","Type of cases of occupational injuries: Cases of occupational injury",93
"T14:154","Type of cases of occupational injuries: Including cases of occupational disease",94
"T14:155","Type of cases of occupational injuries: Including cases of injury due to commuting accidents",95
"T14:156","Type of cases of occupational injuries: Including cases of occupational disease and cases of injury due to commuting accidents",96
"T14:378","Type of cases of occupational injuries: Including fatal injuries",97
"T14:377","Type of cases of occupational injuries: Including permanent incapacity",98
"T14:1569","Type of cases of occupational injuries: Excluding occupational diseases",99
"T14:379","Type of cases of occupational injuries: Excluding permanent incapacity",100
"T14:1661","Type of cases of occupational injuries: Excluding injuries not resulting in some degree of disability",101
"T14:293","Type of cases of occupational injuries: Lost workdays of temporary incapacity",102
"T14:157","Type of cases of occupational injuries: Nonstandard coverage of occupational injuries",103
"T16:163","Labour dispute actions coverage: Only strikes",104
"T16:164","Labour dispute actions coverage: Only lockouts",105
"T16:380","Labour dispute actions coverage: General strikes",106
"T16:381","Labour dispute actions coverage: Excluding political strikes",107
"T16:165","Labour dispute actions coverage: Nonstandard coverage of labour dispute actions",108
"T17:167","Lower limit on coverage of strikes and lockouts: More than a specified number of days",109
"T17:168","Lower limit on coverage of strikes and lockouts: More than a specified number of workers involved",110
"T17:170","Lower limit on coverage of strikes and lockouts: No lower limit",111
"T17:1518","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than 1 hour",112
"T17:1424","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than 2 hours",113
"T17:1452","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than 8 hours",114
"T17:386","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than half a day",115
"T17:385","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than 1 day",116
"T17:384","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than 5 days",117
"T17:383","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than 10 days",118
"T17:382","Lower limit on coverage of strikes and lockouts: Excluding strikes that last less than 100 days",119
"T17:1425","Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 2 workers",120
"T17:388","Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers",121
"T17:389","Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 10 workers",122
"T17:387","Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 500 workers",123
"T17:1428","Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 1000 workers",124
"T17:169","Lower limit on coverage of strikes and lockouts: Nonstandard lower limit on coverage of strikes and lockouts",125
"T17:4165","Lower limit on coverage of strikes and lockouts: Excluding disputes lasting less than one day or not entailing a loss of more than 100 working days and those involving less than 10 employees in the firm",126
"T36:3214","Definition of migrants: Persons born outside of the country",127
"T36:3223","Definition of migrants: Persons residing abroad one year ago",128
"T36:3218","Definition of migrants: Registered migrant workers",129
"T36:3222","Definition of migrants: Registered nationals abroad",130
"T36:3220","Definition of migrants: Nationals who moved abroad during the past five years",131
"T36:3217","Definition of migrants: Nationals registered to work abroad",132
"T36:4108","Definition of migrants: Including citizens returning from abroad",133
"T36:3215","Definition of migrants: Non-citizens",134
"T36:4111","Definition of migrants: Foreigners holding a 3 months or more residence/work permit valid",135
"T36:3920","Definition of migrants: Permanent residents only",136
"T36:3221","Definition of migrants: Non-permanent residents",137
"T36:3216","Definition of migrants: Registered aliens",138
"T36:3526","Definition of migrants: Estimated total nationals living abroad",139
"T36:5015","Definition of migrants: Migrants (definition unspecified)",140
"T20:179","Poverty line method: Absolute poverty line",141
"T20:180","Poverty line method: Relative poverty line",142
"T20:181","Poverty line method: Unmet basic needs method",143
"T20:182","Poverty line method: Nonstandard poverty line method",144
"T21:185","Income (or expenditure) components: Total income",145
"T22:191","Absolute vs. Relative value of income distribution: Absolute value in local currency",146
"T24:201","Reference period of collective bargaining coverage: Workers covered by collective bargaining agreements registered during the year of observation",147
"T34:400","Components of earnings/wages: Including payments in kind",148
"T34:403","Components of earnings/wages: Excluding payments in kind",149
"T34:2127","Components of earnings/wages: Including overtime and/or irregular bonuses",150
"T34:1580","Components of earnings/wages: Excluding regular bonuses",151
"T34:2128","Components of earnings/wages: Excluding overtime and/or irregular bonuses",152
"T34:2789","Components of earnings/wages: Including family allowances",153
"T34:3266","Components of earnings/wages: Non-binding minimum wage",154
"T34:397","Components of earnings/wages: Nonstandard components of earnings or wages",155
"T31:242","Trade union membership coverage: Employed persons",156
"T31:4130","Trade union membership coverage: Refers only to the two main union confederations",157
"T31:3503","Trade union membership coverage: According to the national definition of trade union",158
"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",159
"T32:3476","Collective bargaining coverage: Adjusted for the right to collective bargaining",160
"T32:3477","Collective bargaining coverage: Not adjusted for the right to collective bargaining",161
"T32:3504","Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.",162
"T32:4133","Collective bargaining coverage: Excluding agreements negotiated by associations of persons",163
"T32:4132","Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract",164
"T32:4131","Collective bargaining coverage: Refers only to establishments submitting reports to NICA",165
"T33:396","Working time concept: Hours actually worked",166
"T33:395","Working time concept: Hours paid for",167
"T33:394","Working time concept: Hours usually worked",168
"T33:393","Working time concept: Normal hours of work",169
"I12:422","Frequency: Monthly",170
"I12:444","Frequency: Monthly: 3 month moving average",171
"I12:415","Frequency: Quarterly",172
"I12:450","Frequency: Quarterly: average based on 3 monthly data points",173
"I12:417","Frequency: Four times a year: January, April, July and October",174
"I12:432","Frequency: Four times a year: February, May, August and November",175
"I12:455","Frequency: Four times a year: March, June, September and December",176
"I12:448","Frequency: Tri-annual",177
"I12:3921","Frequency: Three times a year: March, August and November",178
"I12:424","Frequency: Three times a year: April, August and December",179
"I12:413","Frequency: Half-yearly",180
"I12:451","Frequency: Half-yearly: average based on 6 monthly data points",181
"I12:428","Frequency: Twice a year: January and July",182
"I12:453","Frequency: Twice a year: February and August",183
"I12:431","Frequency: Twice a year: March and September",184
"I12:433","Frequency: Twice a year: April and October",185
"I12:456","Frequency: Twice a year: April and November",186
"I12:2982","Frequency: Twice a year: April and September",187
"I12:454","Frequency: Twice a year: May and November",188
"I12:449","Frequency: Twice a year: June and December",189
"I12:425","Frequency: Once a year: December",190
"I12:2984","Frequency: Yearly",191
"I12:3274","Frequency: Twice a year",192
"I12:3900","Frequency: Twice a year: May and October",193
"I6:2419","Type of severity rate for strikes and lockouts: Per 1'000 employees",194
"I6:2420","Type of severity rate for strikes and lockouts: Per 1'000 workers employed",195
"I6:2421","Type of severity rate for strikes and lockouts: Nonstandard severity rate",196
"I4:298","Type of rate: Incidence rate (per 100'000 full-time equivalents)",197
"I4:216","Type of rate: Incidence rate (per 100'000 employees)",198
"I4:217","Type of rate: Incidence rate (per 100'000 workers employed)",199
"I4:218","Type of rate: Incidence rate (per 100'000 workers exposed to risk)",200
"I4:219","Type of rate: Incidence rate (per 100'000 persons insured)",201
"I4:233","Type of rate: Incidence rate (per 1'000 workers employed)",202
"I1:461","Time period for occurrence of death: Deaths occurring within 1 day",203
"I1:465","Time period for occurrence of death: Deaths occurring within 3 days",204
"I1:1221","Time period for occurrence of death: Deaths occuring within 4 days",205
"I1:1356","Time period for occurrence of death: Deaths occurring within 5 days",206
"I1:463","Time period for occurrence of death: Deaths occurring within 15 days",207
"I1:462","Time period for occurrence of death: Deaths occurring within 1 month",208
"I1:466","Time period for occurrence of death: Deaths occurring within 4 months",209
"I1:467","Time period for occurrence of death: Deaths occurring within 6 months",210
"I1:1154","Time period for occurrence of death: Deaths occurring within 1 year",211
"I1:464","Time period for occurrence of death: Deaths occurring within 2 years",212
"I1:468","Time period for occurrence of death: Deaths occurring within the same reference year",213
"I1:1512","Time period for occurrence of death: Deaths occurring within the same reference financial year",214
"I1:1244","Time period for occurrence of death: No specified period for occurrence of deaths",215
"I2:1653","Minimum period of absence from work: No minimum period of absence",216
"I2:1681","Minimum period of absence from work: Incapacities lasting 1 day or more",217
"I2:1304","Minimum period of absence from work: Incapacities lasting one calendar day or more",218
"I2:469","Minimum period of absence from work: Incapacities lasting more than 2 days",219
"I2:470","Minimum period of absence from work: Incapacities lasting more than 3 days",220
"I2:1353","Minimum period of absence from work: Incapacities lasting less than 3 days",221
"I2:471","Minimum period of absence from work: Incapacities lasting more than 4 days",222
"I2:472","Minimum period of absence from work: Incapacities lasting more than 6 days",223
"I2:473","Minimum period of absence from work: Incapacities lasting more than 9 days",224
"I2:1510","Minimum period of absence from work: Incapacities lasting more than 1 working week",225
"I2:1716","Minimum period of absence from work: Nombre de jours indemnisés pour les ATMP non mortels ayant entrainé un premier paiement d'IJ dans l'année.",226
"I2:1482","Minimum period of absence from work: Some loss of working time within the year of the accident",227
"I2:1665","Minimum period of absence from work: Not specified",228
"I2:2482","Minimum period of absence from work: Non standard minimum period of absence from work",229
"I3:3702","Definition of permanent incapacity: The degree of disablement resulting from the relevant loss of faculty assessed for life/final by the Medical Board of the Ministry of Social Security",230
"I3:3745","Definition of permanent incapacity: This is left to each jurisdiction to define permanent incapacity according to their relevant legislations.",231
"I3:1330","Definition of permanent incapacity: An employment Injury which impairs the physical and/or mental ability of an insured person",232
"I3:2812","Definition of permanent incapacity: case where an injured person was absent from work for at least one day, excluding the day of the accident, and 1) was never able to perform again the normal duties of the job or position occupied at the time of the occupational accident, or 2) will be abl",233
"I3:1156","Definition of permanent incapacity: Cases with serious brain or spinal injuries or requiring lifetime rehabilitation",234
"I3:1186","Definition of permanent incapacity: Existe situación de Incapacidad Laboral Permanente cuando el daño sufrido por el trabajador le ocasione una disminución permanente de su capacidad laborativa (ART 8º. Ley 24557 de Riesgos del Trabajo).",235
"I3:2664","Definition of permanent incapacity: Existen dos tipos de incapacidad permanente: Incapacidad permanente parcial. Es la disminución de las facultades o aptitudes de una persona para trabajar.",236
"I3:1715","Definition of permanent incapacity: Incapacité permanente : nombre d'ATMP avec un taux d'IPP supérieur ou égal à 30%",237
"I3:1654","Definition of permanent incapacity: Incapacity that is not for a limited period and is not temporary",238
"I3:1717","Definition of permanent incapacity: Nombre d'ATMP ayant donné à un premier paiement d'indemnité en capital (IPP<10%) ou à une rente(IPP>=10%) non mortel",239
"I3:1668","Definition of permanent incapacity: Not specified",240
"I3:1483","Definition of permanent incapacity: One day excluding day of the accident",241
"I3:3063","Definition of permanent incapacity: Only 1 day or more of absence from work. No information about permanent/temporary",242
"I3:3121","Definition of permanent incapacity: PARCIAL PERMANENTE. Cuando la lesión genera la pérdida parcial de un miembro u órgano o de las funciones del mismo.TOTAL PERMANENTE. Cuando la lesión genera la pérdida anatómica o funcional total de un miembro u órgano; o de las funciones del mismo. Se",243
"I3:1222","Definition of permanent incapacity: Permanent Disablement: non-fatal injuries which are more severe in nature, involving the complete loss, or partial loss of use of any member/part of a member of the injured victim¿s body (e.g. the amputation of an arm, a finger or the bone of a finger).",244
"I3:2920","Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work",245
"I3:1303","Definition of permanent incapacity: Permanent physiological incapacity to consolidate",246
"I3:2914","Definition of permanent incapacity: Using Major injuries. Definition: if it is an injury, other than fatal injuries, which are more severe in nature using a combination of factors, including the nature of injury, part of the body injured, incident type and duration of medical leave. These i",247
"I3:3351","Definition of permanent incapacity: Un accident du travail avec incapacité permanente de travailler est un accident ayant entrainé une infirmité qui a été indemnisé soit par une capital forfaitaire, si le taux d¿incapacité permanente est inférieur à 10%, soit par une rente d'incapacité perm",248
"I5:221","Time unit for measuring time lost: Calendar days",249
"I5:222","Time unit for measuring time lost: Working days",250
"I7:231","Workers involved: Workers directly and indirectly involved",251
"I7:230","Workers involved: Excludes workers indirectly involved",252
"I9:318","Unit: Thousands",253
"T37:3353","Socio-economic vulnerability: Very low",254
"T37:3354","Socio-economic vulnerability: Low",255
"T37:3355","Socio-economic vulnerability: Medium",256
"T37:3356","Socio-economic vulnerability: High",257
"T37:3357","Socio-economic vulnerability: Very high",258
"T37:3358","Socio-economic vulnerability: Not available",259
"I11:3256","Break in series: Change in source",260
"I11:264","Break in series: Methodology revised",261
"I11:265","Break in series: Sample redesigned",262
"I11:269","Break in series: Change in definition or concept",263
"I11:271","Break in series: Industry classification revised",264
"I11:267","Break in series: Occupation classification revised",265
"I11:2114","Break in series: Educational classification revised",266
"I11:268","Break in series: New or revalued currency",267
"I11:266","Break in series: Other or unspecified type of break",268
"I13:3922","Remarks: Direct seasonal adjustment using X-13ARIMA-SEATS. No trading-days effect. Manual outlier detection.",269
"I13:1473","Remarks: Including those not classified",270
"I13:1558","Remarks: Excluding those not classified",271
"I13:287","Remarks: Excluding estimates for non-response",272
"I13:280","Remarks: Survey results influenced by a low response rate",273
"I13:276","Remarks: Not strictly comparable",274
"I13:272","Remarks: Unweighted survey results",275
"I13:275","Remarks: Computed on the basis of an eight-hour working day",276
"I13:282","Remarks: Computed on the basis of a seven-hour working day",277
"I13:281","Remarks: The wage threshold for inclusion in these series varies in time which may explain part of the fluctuations in the series",278
"I13:296","Remarks: Private analysts estimate a higher CPI than the one officially reported for the period since 2007. These alternative estimates have been used in some wage negotiations",279
"I13:294","Remarks: One strike represents one establishment on strike",280
"I13:3213","Remarks: Excluding seafaring migrants",281
"I13:3212","Remarks: Employment refers to those with gainful activity during the past 12 months",282
"I13:3154","Remarks: Social insurance",283
"I13:3153","Remarks: Social insurance and social assistance (public employment guarantee scheme)",284
"I13:3159","Remarks: Social assistance",285
"I13:3158","Remarks: Social assistance and social insurance",286
"I13:3155","Remarks: Saving accounts / social insurance",287
"I13:3169","Remarks: Withdraw from provident fund",288
"I13:3168","Remarks: Unemployment insurance as part of social security law (August 2012, not yet implemented)",289
"I13:3167","Remarks: Social insurance and social assistance",290
"I13:3166","Remarks: Only Central Budgetary social protection expenditure | Only Health",291
"I13:3165","Remarks: Severance payment (no statutory). Possible withdraw from social security institute.",292
"I13:3164","Remarks: Social insurance and unemployment aid",293
"I13:3163","Remarks: No statutory provision",294
"I13:3162","Remarks: Mandatory insurance",295
"I13:3161","Remarks: General government level | Health and Social Protection",296
"I13:3160","Remarks: No statutory provision. Severance payment without a decree adopted.",297
"I13:3157","Remarks: Subsidized voluntary insurance and social assistance;",298
"I13:3156","Remarks: Decent work indicator for the social protection dimension. Based on data from WHO.",299
"I13:3152","Remarks: Mandatory private account and employment-related benefit.",300
"I13:3151","Remarks: One level | Central Government social protection expenditure | Health and Social Protection",301
"I13:3150","Remarks: Social insurance and individual account system",302
"I13:3149","Remarks: Universal and social insurance",303
"I13:3148","Remarks: Severance payment (no statutory)",304
"I13:3147","Remarks: One level | Local Government social protection expenditure | Health and Social Protection",305
"I13:3146","Remarks: Non General Government level | Only Health",306
"I13:3287","Remarks: Eligible age for the old-age social pension (60+) rather than the statutory pensionable age (55+)",307
"I13:3489","Remarks: Annual average is weighted mean of monthly data",308
"I13:3765","Remarks: Excluding two public utility companies",309
"I13:3767","Remarks: Excluding employees of Ministry of Internal Affairs, Ministry of Defence and individual farmers",310
"I13:3879","Remarks: As a percent of total employment",311
"I13:3888","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",312
"I13:3890","Remarks: Refers to concept of jobs rather than persons employed",313
"I13:5127","Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.",314
"I13:5034","Remarks: Information provided by the Russian Federation. Includes statistical data for the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine, temporarily occupied by the Russian Federation",315
"I13:4171","Remarks: Does not include data of strikes of the 3rd of October and 8th of November in Catalonia.",316
"I13:3326","Remarks: Categories might not add up to totals due to data gaps relating to a residual category of non-classifiable observations included in the total but excluded from the given categories.",317
"I21:3460","Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, all contributing family workers, and producers exclusively for own final use",318
"I21:3458","Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers",319
"I21:3459","Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use",320
"I21:4098","Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and producers exclusively for own final use",321
"I21:4099","Workers in informal employment: Employees holding informal jobs and entrepreneurs in the informal sector",322
"I21:4144","Workers in informal employment: Other nonstandard definition",323
"I20:3455","Informal employees: Do not have a written contract nor social security coverage nor paid vacation nor paid sick leave",324
"I20:3450","Informal employees: Do not have a written contract nor social security coverage",325
"I20:3453","Informal employees: Do not have a written contract nor paid vacation",326
"I20:3451","Informal employees: Do not have social security coverage nor paid vacation nor paid sick leave",327
"I20:3454","Informal employees: Do not have social security coverage",328
"I20:3456","Informal employees: Do not have a written contract nor social security coverage nor paid vacation",329
"I20:3452","Informal employees: Do not have a written contract",330
"I20:3457","Informal employees: Do not have social security coverage nor paid vacation",331
"I22:3467","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are not registered; have unregistered employees; are engaged in non-agricultural activities; and are not producers of goods exclusively for own final use",332
"I22:3466","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; are not registered; are not households employing paid domestic workers; and are not producers of goods exclusively for own final use",333
"I22:3464","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; are not registered; are engaged in non-agricultural activities; are not households employing paid domestic workers; and are not producers of goods exclusively for own final use",334
"I22:3465","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; are not registered; have unregistered employees; are engaged in non-agricultural activities; are not households employing paid domestic workers; and are not producers of goods exclusively for own final use",335
"I22:3471","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; are not registered; have unregistered employees; are not households employing paid domestic workers; and are not producers of goods exclusively for own final use",336
"I22:3978","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; are below a certain size; and do not keep a complete set of accounts",337
"I22:3462","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; and are not registered",338
"I22:3468","Economic units in the informal sector: Produce goods or services for sale or barter; do not keep a complete set of accounts; and are not registered",339
"I22:3469","Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; and are not registered",340
"I22:3461","Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",341
"I22:5032","Economic units in the informal sector: Are not registered and are below a certain size",342
"I22:3470","Economic units in the informal sector: Are not registered",343
"I22:3463","Economic units in the informal sector: Are below a certain size",344
"I22:4146","Economic units in the informal sector: Other nonstandard definition",345
"I23:3547","Public sector coverage: Total public sector",346
"I23:3548","Public sector coverage: General government only",347
"I23:3549","Public sector coverage: Nonstandard public sector coverage",348
"I33:3771","ILO calculation: Monthly figure calculated as weekly figure multiplied by 4.33 weeks",349
"I33:3537","ILO calculation: Monthly figure calculated as annual figure divided by 12 months",350
"I33:3770","ILO calculation: Weekly figure calculated as monthly figure divided by 4.33 weeks",351
"I33:3934","ILO calculation: Hourly figure calculated as weekly figure divided by actual average working hours per week",352
"I33:3932","ILO calculation: Hourly figure calculated as monthly figure divided by 173.33 (40 hours per week times 52 weeks divided by 12 months)",353
"I33:3933","ILO calculation: Hourly figure calculated as yearly figure divided by actual average working hours per week and then by 4.33 weeks",354
"I33:3935","ILO calculation: Hourly figure calculated as yearly figure divided by actual average working hours per week and then by 52 weeks",355
"I33:3908","ILO calculation: Hourly figure calculated as daily figure divided by 8 - DO NOT USE",356
"I33:3909","ILO calculation: Monthly figure calculated as the hourly figure multiplied by the actual average working hours per week and then by 4.33 weeks",357
"I33:3910","ILO calculation: Monthly figure calculated as the daily figure multiplied by 5 days and then by 4.33 weeks",358
"I33:3917","ILO calculation: Share calculated using employment total from a different household survey",359
"T30:1","Currency: DZA - Algerian dinar (DZD)",360
"T30:2","Currency: AGO - Kwanza (AOA)",361
"T30:3","Currency: BEN - West African CFA franc (XOF)",362
"T30:4","Currency: BWA - Pula (BWP)",363
"T30:5","Currency: BFA - West African CFA franc (XOF)",364
"T30:6","Currency: BDI - Burundian franc (BIF)",365
"T30:7","Currency: CMR - Central African CFA franc (XAF)",366
"T30:8","Currency: CPV - Escudo (CVE)",367
"T30:10","Currency: COM - Comorian franc (KMF)",368
"T30:12","Currency: COD - Congolese franc (CDF)",369
"T30:13","Currency: CIV - West African CFA franc (XOF)",370
"T30:15","Currency: EGY - Egyptian pound (EGP)",371
"T30:17","Currency: ETH - Birr (ETB)",372
"T30:18","Currency: GAB - Central African CFA franc (XAF)",373
"T30:19","Currency: GMB - Dalasi (GMD)",374
"T30:20","Currency: GHA - Cedi (GHS)",375
"T30:21","Currency: GNQ - Central African CFA franc (XAF)",376
"T30:23","Currency: GNB - West African CFA franc (XOF)",377
"T30:24","Currency: KEN - Kenyan shilling (KES)",378
"T30:25","Currency: LSO - Loti (LSL)",379
"T30:26","Currency: LBR - Liberian dollar (LRD)",380
"T30:27","Currency: LBY - Libyan dinar (LYD)",381
"T30:28","Currency: MDG - Malagasy ariary (MGA)",382
"T30:29","Currency: MWI - Malawian kwacha (MWK)",383
"T30:30","Currency: MLI - West African CFA franc (XOF)",384
"T30:31","Currency: MAR - Moroccan dirham (MAD)",385
"T30:32","Currency: MRT - Ouguiya (MRO)",386
"T30:33","Currency: MUS - Mauritian rupee (MUR)",387
"T30:34","Currency: MOZ - Metical (MZN)",388
"T30:35","Currency: NAM - Namibian dollar (NAD)",389
