source, source.label, source.sort
"GA:175","ARM - CPS - Consumer Price Index",112
"XA:7980","ARM - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",113
"XA:6468","ARM - ILO - ILO Social Security Inquiry Database",114
"XA:1931","ARM - ILO - ILO Estimates and Projections",115
"XX:8098","ARM - OS - World Development Indicators",116
"XX:14029","ARM - OS - UNICEF and ILO calculations",117
"AA:21","ASM - PC - Census for American Samoa",118
"EA:871","ASM - OE - Official Estimates",119
"GA:2321","ASM - CPS - Retail Price Index",120
"AA:872","ATG - PC - Population Census",121
"EA:873","ATG - OE - Official Estimates",122
"EB:7748","ATG - Other - Carribean Development Bank (2007), Living Conditions in Antigua and Barbuda: Poverty in a Services E",123
"FF:874","ATG - ADM-LIR - Labour inspectorate records",124
"FX:875","ATG - ADM - Labour relations records",125
"GA:2315","ATG - CPS - Cost of Living Index",126
"XA:7903","ATG - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",127
"XA:6437","ATG - ILO - ILO Social Security Inquiry Database",128
"BA:518","AUS - LFS - Labour Force Survey",129
"BA:3048","AUS - LFS - Employee Earnings, Benefits and Trade Union Membership Survey",130
"AA:876","AUS - PC - Census of Population and Housing",131
"DA:8238","AUS - ES - Major Labour Costs Survey",132
"DA:603","AUS - ES - Survey of Employee Earnings",133
"EB:878","AUS - Other - Special data collection",134
"FA:775","AUS - ADM-IR - National Data Standards for Injury Surveillance records",135
"FA:877","AUS - ADM-IR - Insurance records",136
"FX:557","AUS - ADM - Work-related Traumatic Injury Fatalities records",137
"FX:13344","AUS - ADM - Administrative records of the national statistical office",138
"FX:524","AUS - ADM - Industrial Disputes",139
"BX:14103","AUS - HS - Survey of Education and Work",140
"FX:3254","AUS - ADM - Labour legislation",141
"GA:523","AUS - CPS - Consumer Price Index",142
"EA:14105","AUS - OE - Migration, Australia, Australian Bureau of Statistics",143
"XA:7935","AUS - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",144
"XA:6595","AUS - ILO - ILO Social Security Inquiry Database",145
"XA:2202","AUS - ILO - ILO Estimates and Projections",146
"XX:8161","AUS - OS - World Development Indicators",147
"XX:8006","AUS - OS - OECD estimates",148
"XX:8239","AUS - OS - Estimations based on administrative data, collective agreements and awards",149
"BA:536","AUT - LFS - EU Labour Force Survey",150
"BE:5879","AUT - LFS-ADJ - EU Labour Force Survey adjusted series",151
"BA:103","AUT - LFS - Labour force survey",152
"BB:275","AUT - HIES - EU Statistics on Income and Living Conditions",153
"BX:13408","AUT - HS - European Health and Social Integration Survey",154
"AA:879","AUT - PC - Population Census",155
"DA:271","AUT - ES - Labour Cost Survey",156
"DA:12952","AUT - ES - Verdienststrukturerhebung",157
"DA:881","AUT - ES - Industrial Production Statistics",158
"FA:257","AUT - ADM-IR - AUVA database records from all insurance companies",159
"FA:883","AUT - ADM-IR - Insurance records",160
"FB:884","AUT - ADM-EOR - Registered Unemployment records",161
"FF:256","AUT - ADM-LIR - Labour Inspectorate records",162
"FI:254","AUT - ADM-RWO - Austrian Federation of Trade Unions records",163
"FX:7528","AUT - ADM - Administrative records and related sources",164
"FX:272","AUT - ADM - General Income Report",165
"FX:3339","AUT - ADM - Lohnsteuerstatistik",166
"GA:2322","AUT - CPS - Consumer Price Index",167
"JA:3444","AUT - SNA - National Accounts",168
"XA:7984","AUT - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",169
"XA:6500","AUT - ILO - ILO Social Security Inquiry Database",170
"XA:2089","AUT - ILO - ILO Estimates and Projections",171
"XX:8225","AUT - OS - World Development Indicators",172
"XX:8045","AUT - OS - OECD estimates",173
"XX:8240","AUT - OS - Estimations based on records from the Austrian Confederation of Trade Unions",174
"XX:8241","AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer)",175
"BA:125","AZE - LFS - Labour Force Survey",176
"BC:2224","AZE - CLS - Child Labour Survey",177
"BX:7720","AZE - HS - Demographic and Health Survey",178
"AA:885","AZE - PC - Population Census",179
"DA:126","AZE - ES - Labour-related establishment survey",180
"EA:887","AZE - OE - Official Estimates",181
"EB:886","AZE - Other - Reports on Labour",182
"FB:888","AZE - ADM-EOR - Registered unemployment records",183
"FF:130","AZE - ADM-LIR - Labour inspectorate records",184
"FX:7529","AZE - ADM - Administrative records and related sources",185
"FX:13345","AZE - ADM - Administrative records of state migration service",186
"FX:13338","AZE - ADM - Administrative records of state statistical committee",187
"FX:3306","AZE - ADM - Labour legislation",188
"GA:127","AZE - CPS - Consumer Price Index",189
"XA:7911","AZE - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",190
"XA:6627","AZE - ILO - ILO Social Security Inquiry Database",191
"XA:2121","AZE - ILO - ILO Estimates and Projections",192
"XX:8192","AZE - OS - World Development Indicators",193
"BB:7040","BDI - HIES - Enquête sur les conditions de vie des ménages",194
"AA:889","BDI - PC - Recensements de population",195
"CA:890","BDI - EC - Enquête annuelle sur la main-d'oeuvre dans les secteurs parapublic, mixte et privé",196
"EA:891","BDI - OE - Estimations officielles",197
"FB:892","BDI - ADM-EOR - Fichiers des bureaux de placement",198
"FX:3305","BDI - ADM - Labour legislation",199
"FX:893","BDI - ADM - Autres fichiers administratifs et sources connexes",200
"GA:2328","BDI - CPS - Indice des prix à la consommation - Bujumbura",201
"JA:3412","BDI - SNA - Comptes nationaux",202
"XA:7891","BDI - ILO - ILO (2009), Avant-projet de document comme base de discussions sur la politique nationale de protect",203
"XA:7873","BDI - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",204
"XA:6639","BDI - ILO - ILO Social Security Inquiry Database",205
"XA:2153","BDI - ILO - ILO Estimates and Projections",206
"XX:8129","BDI - OS - World Development Indicators",207
"XX:14025","BDI - OS - UNICEF and ILO calculations",208
"BA:2257","BEL - LFS - EU Labour Force Survey",209
"BE:5904","BEL - LFS-ADJ - EU Labour Force Survey adjusted series",210
"BA:104","BEL - LFS - Enquête Force de travail",211
"BB:276","BEL - HIES - EU Statistics on Income and Living Conditions",212
"BX:13409","BEL - HS - European Health and Social Integration Survey",213
"AA:894","BEL - PC - Recensements de population",214
"DA:283","BEL - ES - Labour Cost Survey",215
"DA:277","BEL - ES - Structure of Earnings Survey",216
"EA:895","BEL - OE - Estimations officielles",217
"EB:3463","BEL - Other - Autres sources officielles",218
"EB:899","BEL - Other - Collecte spéciale de données",219
"FA:2599","BEL - ADM-IR - Données transmises par les sociétés d'assurance par voie électronique",220
"FA:896","BEL - ADM-IR - Fichiers des assurances",221
"FA:897","BEL - ADM-IR - Fichiers des assurances (autre)",222
"FB:898","BEL - ADM-EOR - Rapport mensuel sur le marché de l'emploi et Rapport annuel statistique",223
"FX:3266","BEL - ADM - Labour legislation",224
"FJ:14052","BEL - ADM-PR - Registre national",225
"FX:8243","BEL - ADM - Records from the National Labour Council",226
"GA:279","BEL - CPS - Indice des prix à la consommation",227
"JA:3371","BEL - SNA - Comptes nationaux",228
"XA:7858","BEL - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",229
"XA:6523","BEL - ILO - ILO Social Security Inquiry Database",230
"XA:2185","BEL - ILO - ILO Estimates and Projections",231
"XX:8137","BEL - OS - World Development Indicators",232
"XX:8026","BEL - OS - OECD estimates",233
"XX:8242","BEL - OS - Estimations based on records from the three main union confederations",234
"BA:900","BEN - LFS - Enquête sur la population active",235
"BB:426","BEN - HIES - Enquête de suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages",236
"BX:6368","BEN - HS - Enquête sur la transition de l'école vers la vie active",237
"AA:746","BEN - PC - Projections démographiques et études prospectives de la demande sociale révisées 2002-2030",238
"EA:8326","BEN - OE - Official estimates",239
"EA:901","BEN - OE - Estimations officielles",240
"EB:7785","BEN - Other - Oxford Policy Management, Anthony Hodges et al (2010), Etude sur l'état des lieux et les perspective",241
"FA:902","BEN - ADM-IR - Relevés et recensements du personnel des Départements ministrériels, de l'Office Béninois de Sécurité sociale (OBSS), de l'Office Béninois d'Informatique (OBI) et déclarations périodiques de la main-d'oeuvre",242
"FX:3240","BEN - ADM - Labour legislation",243
"GA:2282","BEN - CPS - Indice des prix à la consommation",244
"XA:7851","BEN - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",245
"XA:6460","BEN - ILO - ILO Social Security Inquiry Database",246
"XA:2018","BEN - ILO - ILO Estimates and Projections",247
"XX:8075","BEN - OS - World Development Indicators",248
"XX:13971","BEN - OS - UNICEF and ILO calculations",249
"BA:904","BFA - LFS - Enquête sur la population active",250
"BB:7335","BFA - HIES - Enquête Multisectorielle Continue",251
"BC:2221","BFA - CLS - Child Labour Survey",252
"BX:3522","BFA - HS - Questionnaire unifié des indicateurs de base du bien-être",253
"AA:903","BFA - PC - Recensements de population",254
"FA:906","BFA - ADM-IR - Fichiers des assurances",255
"FX:908","BFA - ADM - Fichiers administratifs et sources connexes",256
"FX:3354","BFA - ADM - Labour legislation",257
"GA:2326","BFA - CPS - Indice des prix à la consommation - Africains",258
"XA:7816","BFA - ILO - ILO (2011), Une Revue des Dépenses et de la Performance de la Protection Sociale (SPER) au Burkina F",259
"XA:7921","BFA - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",260
"XA:6539","BFA - ILO - ILO Social Security Inquiry Database",261
"XA:2034","BFA - ILO - ILO Estimates and Projections",262
"XX:8153","BFA - OS - World Development Indicators",263
"XX:14002","BFA - OS - UNICEF and ILO calculations",264
"BA:673","BGD - LFS - Labour Force Survey",265
"BC:2225","BGD - CLS - Child Labour Survey",266
"BX:6395","BGD - HS - School to work transition survey",267
"AA:909","BGD - PC - Population Census",268
"EB:7774","BGD - Other - Halcrow China Limited (2005), Social Protection Index for Committed Poverty Reduction, Blangladesh C",269
"FF:911","BGD - ADM-LIR - Labour inspectorate records",270
"FX:805","BGD - ADM - Administrative records",271
"FX:3340","BGD - ADM - Labour legislation",272
"FX:912","BGD - ADM - Labour relations records",273
"FX:13376","BGD - ADM - Administrative records of Bureau of Manpower, Employment and Training (BMET)",274
"GA:674","BGD - CPS - Consumer Price Index",275
"GA:2325","BGD - CPS - Consumer Price Index - Dhaka",276
"XA:7808","BGD - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",277
"XA:6429","BGD - ILO - ILO Social Security Inquiry Database",278
"XA:1939","BGD - ILO - ILO Estimates and Projections",279
"XX:8106","BGD - OS - World Development Indicators",280
"XX:14030","BGD - OS - UNICEF and ILO calculations",281
"BA:2258","BGR - LFS - EU Labour Force Survey",282
"BE:5888","BGR - LFS-ADJ - EU Labour Force Survey adjusted series",283
"BA:387","BGR - LFS - Labour Force Survey",284
"BB:7078","BGR - HIES - Multitopic Household Survey",285
"BX:13403","BGR - HS - European Health and Social Integration Survey",286
"AA:913","BGR - PC - Population Census",287
"CA:914","BGR - EC - Employed persons and wage and salary census",288
"DA:388","BGR - ES - Annual Enterprises Survey on Number of employees, Wages and salaries and Other labour costs",289
"DA:3095","BGR - ES - Quarterly Survey on Employees, Hours Worked, Wages and Salaries, and Other Expenditures Paid by the Employer",290
"DA:810","BGR - ES - Structure of Earnings Survey",291
"EA:915","BGR - OE - Official Estimates",292
"EB:7778","BGR - Other - ASISP, Annual National Reports: Pensions, Health and Long-term Care",293
"FA:390","BGR - ADM-IR - Insurance records",294
"FB:916","BGR - ADM-EOR - Registered unemployment records",295
"FE:3510","BGR - ADM-CA - NICA's registry of collective labour agreements",296
"FF:2603","BGR - ADM-LIR - Labour inspectorate records",297
"FJ:14044","BGR - ADM-PR - Population Register",298
"FX:917","BGR - ADM - Administrative reports",299
"FX:3311","BGR - ADM - Labour legislation",300
"GA:389","BGR - CPS - Consumer Price Index",301
"XA:7950","BGR - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",302
"XA:6555","BGR - ILO - ILO Social Security Inquiry Database",303
"XA:2203","BGR - ILO - ILO Estimates and Projections",304
"XX:8169","BGR - OS - World Development Indicators",305
"BA:918","BHR - LFS - Labour force survey",306
"AA:597","BHR - PC - Population Census",307
"DA:12909","BHR - ES - Establishment Survey -Labour Market Regulatory Authority",308
"EA:7743","BHR - OE - Ministry of Health, Directorate of Finance estimates",309
"EA:2548","BHR - OE - Estimates of Central informatics organization",310
"FA:920","BHR - ADM-IR - Insurance records",311
"FA:921","BHR - ADM-IR - Insurance records (other)",312
"FA:598","BHR - ADM-IR - Social Insurance organization records",313
"FB:922","BHR - ADM-EOR - Registered unemployment records",314
"FF:599","BHR - ADM-LIR - Labour inspectorate records",315
"FX:3288","BHR - ADM - Labour legislation",316
"FX:12921","BHR - ADM - Administrative Records of Labour Market Regulatory Authority",317
"GA:2327","BHR - CPS - Consumer Price Index",318
"XA:7981","BHR - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",319
"XA:6476","BHR - ILO - ILO Social Security Inquiry Database",320
"XA:2081","BHR - ILO - ILO Estimates and Projections",321
"XX:8226","BHR - OS - World Development Indicators",322
"BA:17","BHS - LFS - Labour Force & Household Survey",323
"AA:923","BHS - PC - Population Census",324
"FX:3284","BHS - ADM - Labour legislation",325
"FX:925","BHS - ADM - Labour relations records",326
"GA:2271","BHS - CPS - Consumer Price Index",327
"GA:12884","BHS - CPS - Consumer Price Index - Main city",328
"XA:7985","BHS - ILO - ILO (1999), More than 140 million denied access to health care in Latin America and the Caribbean",329
"XA:7988","BHS - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",330
"XA:6571","BHS - ILO - ILO Social Security Inquiry Database",331
"XA:2097","BHS - ILO - ILO Estimates and Projections",332
"XX:8184","BHS - OS - World Development Indicators",333
"BA:493","BIH - LFS - Labour Force Survey",334
"DA:927","BIH - ES - Labour-related establishment survey",335
"FB:928","BIH - ADM-EOR - Employment office records",336
"FF:929","BIH - ADM-LIR - Labour inspectorate records",337
"FX:8319","BIH - ADM - Administrative records and related sources",338
"GA:2291","BIH - CPS - Consumer Price Index",339
"XA:7937","BIH - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",340
"XA:6414","BIH - ILO - ILO Social Security Inquiry Database",341
"XA:2113","BIH - ILO - ILO Estimates and Projections",342
"XX:8121","BIH - OS - World Development Indicators",343
"XX:8038","BIH - OS - World Bank, Mariapia Mendola et al (2007), The Impoverishing Effect of Adverse Health Events: Eviden",344
"XX:8244","BIH - OS - Estimations based on administrative data",345
"BA:13362","BLR - LFS - Labour force survey",346
"AA:483","BLR - PC - Population census",347
"CA:930","BLR - EC - Economic or establishment census",348
"DA:931","BLR - ES - Labour-related establishment survey",349
"EA:485","BLR - OE - Labour resources estimates",350
"EB:7769","BLR - Other - WHO, Health Systems in Transition, Belarus Health system review",351
"FB:486","BLR - ADM-EOR - Employment office records",352
"FI:933","BLR - ADM-RWO - Records of employers'/workers' organizations",353
"FJ:5859","BLR - ADM-PR - Current account of population register",354
"FX:3292","BLR - ADM - Labour legislation",355
"GA:8300","BLR - CPS - Consumer Price Index",356
"XA:7907","BLR - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",357
"XA:6587","BLR - ILO - ILO Social Security Inquiry Database",358
"XA:2129","BLR - ILO - ILO Estimates and Projections",359
"XX:8200","BLR - OS - World Development Indicators",360
"XX:14017","BLR - OS - UNICEF and ILO calculations",361
"BA:934","BLZ - LFS - Labour force survey",362
"AA:353","BLZ - PC - Population census",363
"DA:935","BLZ - ES - Labour-related establishment survey",364
"EB:7750","BLZ - Other - Government of Belize and the Caribbean Development Bank, Country Poverty Assessment",365
"FA:937","BLZ - ADM-IR - Insurance records",366
"FK:355","BLZ - ADM-EBR - Social Security Board records",367
"FX:3362","BLZ - ADM - Labour legislation",368
"FX:354","BLZ - ADM - Ministry of labour, local government, rural development, immigration & nationality and national emergency management records",369
"FX:3509","BLZ - ADM - National Trade Union Congress",370
"GA:2335","BLZ - CPS - Consumer Price Index",371
"XA:7876","BLZ - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",372
"XA:6492","BLZ - ILO - ILO Social Security Inquiry Database",373
"XA:2145","BLZ - ILO - ILO Estimates and Projections",374
"XX:8090","BLZ - OS - World Development Indicators",375
"XX:13986","BLZ - OS - UNICEF and ILO calculations",376
"BA:27","BMU - LFS - Labour Force Survey",377
"AA:26","BMU - PC - Census of Population & Housing",378
"DA:7098","BMU - ES - Labour-related establishment survey",379
"FB:939","BMU - ADM-EOR - Employment office records",380
"FF:940","BMU - ADM-LIR - Labour inspectorate records",381
"FI:604","BMU - ADM-RWO - Records of workers' organizations",382
"FK:12986","BMU - ADM-EBR - Manpower Survey",383
"FX:941","BMU - ADM - Other administrative records and related sources",384
"GA:2329","BMU - CPS - Consumer Price Index",385
"XA:6603","BMU - ILO - ILO Social Security Inquiry Database",386
"BA:74","BOL - LFS - Encuesta Continua de Empleo",387
"BB:73","BOL - HIES - Encuesta de Hogares",388
"AA:942","BOL - PC - Censo de Población y Vivienda",389
"EA:7741","BOL - OE - Centro de Documentación e Información Bolivia",390
"EA:945","BOL - OE - Estimaciones oficiales",391
"FA:946","BOL - ADM-IR - Registros de seguros",392
"FX:947","BOL - ADM - Registros de relaciones laborales",393
"GA:2331","BOL - CPS - Indice de precios al consumidor",394
"XA:7870","BOL - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",395
"XA:6445","BOL - ILO - ILO Social Security Inquiry Database",396
"XA:1907","BOL - ILO - ILO Estimates and Projections",397
"XA:3126","BOL - ILO - ILO SIALC Estimates",398
"XX:8216","BOL - OS - World Development Indicators",399
"XX:13990","BOL - OS - UNICEF and ILO calculations",400
"BX:6355","BRA - HS - Pesquisa Nacional por Amostra de Domicílios Contínua",401
"BX:356","BRA - HS - Pesquisa Nacional por Amostra de Domicílios",402
"BA:3047","BRA - LFS - Pesquisa Mensal de Emprego",403
"BX:6369","BRA - HS - School to work transition survey",404
"AA:948","BRA - PC - Censos de población",405
"DA:949","BRA - ES - Relaçao Anual de Informaçoes Sociais",406
"EA:7732","BRA - OE - Official estimates",407
"FA:950","BRA - ADM-IR - Registros de seguros",408
"FI:951","BRA - ADM-RWO - Registros administrativos y fuentes relacionades",409
"FX:3119","BRA - ADM - Labour legislation",410
"FX:952","BRA - ADM - Otros registros administrativos y fuentes relacionadas",411
"FX:357","BRA - ADM - Notícias veiculadas em jornais impressos ou eletrônicos da grande mídia e da imprensa sindical",412
"GA:2332","BRA - CPS - Indice de precios del consumo - IPCA",413
"GA:12885","BRA - CPS - Consumer Price Index - Main city",414
"XA:7866","BRA - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",415
"XA:6619","BRA - ILO - ILO Social Security Inquiry Database",416
"XA:2002","BRA - ILO - ILO Estimates and Projections",417
"XA:3122","BRA - ILO - ILO INWORK Estimates",418
"XX:8094","BRA - OS - World Development Indicators",419
"XX:13960","BRA - OS - UNICEF and ILO calculations",420
"BA:338","BRB - LFS - Labour Force Survey",421
"AA:954","BRB - PC - Population Census",422
"CA:955","BRB - EC - Economic or establishment census",423
"EB:956","BRB - Other - Special data collection",424
"FF:339","BRB - ADM-LIR - Labour Department",425
"GA:2324","BRB - CPS - Index of Retail Prices",426
"XA:7859","BRB - ILO - ILO (1999), More than 140 million denied access to health care in Latin America and the Caribbean",427
"XA:7855","BRB - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",428
"XA:6508","BRB - ILO - ILO Social Security Inquiry Database",429
"XA:2193","BRB - ILO - ILO Estimates and Projections",430
"XX:8141","BRB - OS - World Development Indicators",431
"XX:13998","BRB - OS - UNICEF and ILO calculations",432
"BA:8230","BRN - LFS - Labour force survey",433
"AA:957","BRN - PC - Population Census",434
"CA:6653","BRN - EC - Labour Department's Annual Census of Employers",435
"DA:958","BRN - ES - Labour-related establishment survey",436
"EA:959","BRN - OE - Official Estimates",437
"EB:6660","BRN - Other - Statistical Yearbook",438
"FA:960","BRN - ADM-IR - Insurance records",439
"FB:961","BRN - ADM-EOR - Employment office records",440
"FX:8320","BRN - ADM - Administrative records and related sources",441
"GA:2330","BRN - CPS - Consumer Price Index",442
"XA:7852","BRN - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",443
"XA:6512","BRN - ILO - ILO Social Security Inquiry Database",444
"XA:2014","BRN - ILO - ILO Estimates and Projections",445
"XX:8064","BRN - OS - World Development Indicators",446
"XX:8024","BRN - OS - The United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)",447
"BA:625","BTN - LFS - Labour Force Survey Report",448
"AA:962","BTN - PC - Population Census",449
"EA:7733","BTN - OE - Official estimates",450
"FX:8318","BTN - ADM - Administrative records and related sources",451
"FX:3238","BTN - ADM - Labour legislation",452
"GA:626","BTN - CPS - Consumer Price Index",453
"XA:7839","BTN - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",454
"XA:6640","BTN - ILO - ILO Social Security Inquiry Database",455
"XA:1872","BTN - ILO - ILO Estimates and Projections",456
"XX:8149","BTN - OS - World Development Indicators",457
"XX:13975","BTN - OS - UNICEF and ILO calculations",458
"BA:964","BWA - LFS - Labour Force Survey",459
"BX:11","BWA - HS - Botswana Core Welfare Indicators (Poverty) Survey",460
"AA:963","BWA - PC - Population Census",461
"DA:965","BWA - ES - Survey of Employment and Employees",462
"FB:966","BWA - ADM-EOR - Registered unemployment records",463
"FF:967","BWA - ADM-LIR - Labour inspectorate records",464
"FX:3355","BWA - ADM - Labour legislation",465
